GeneID	GSM1580869	GSM1580870	GSM1580871	GSM1580872	GSM1580873	GSM1580874
440556	11.41	10.39	10.51	4.392	4.642	6.361
63976	3.586	3.042	2.992	2.102	2.225	3.297
100422968	0	0	0	0	0	0
105378606	0.0551	0.06408	0.06374	0.09751	0.02355	0.06742
107984909	0.02308	0.1073	0.09856	0.01225	0	0.04236
105378605	0.1322	0.2005	0.2025	0.02288	0.09945	0.01055
105378604	0.08116	0.1172	0.07172	0.1281	0.05651	0.06677
27237	0.7717	1.246	0.7553	0.7359	0.742	1.25
1953	1.57	1.531	1.752	0.9491	1.087	1.555
105378608	0	0.02184	0	0.004984	0	0
693135	0	0	0	0	0	0
105378607	0	0	0	0	0	0
127262	69.82	43.04	81.5	80.38	68.81	65.04
49856	8.067	10.9	8.928	7.05	7.757	8.921
7161	0.2207	0.5212	0.1903	0.1027	0.2742	0.2057
105378610	0	0	0	0	0	0
105378609	0	0	0	0	0	0
